Supplementary Table 3: Cell metadata for cross-species pancreatic islet analysis

Cell_Name	Species	Individual	Cluster_ID	Baron_Cluster_ID
human1_lib1.final_cell_0001	human	human1	acinar	acinar
human1_lib1.final_cell_0002	human	human1	acinar	acinar
human1_lib1.final_cell_0003	human	human1	acinar	acinar
human1_lib1.final_cell_0004	human	human1	acinar	acinar
human1_lib1.final_cell_0005	human	human1	acinar	acinar
human1_lib1.final_cell_0006	human	human1	acinar	acinar
human1_lib1.final_cell_0007	human	human1	beta	beta
human1_lib1.final_cell_0008	human	human1	acinar	acinar
human1_lib1.final_cell_0009	human	human1	acinar	acinar
human1_lib1.final_cell_0010	human	human1	acinar	acinar
human1_lib1.final_cell_0011	human	human1	acinar	acinar
human1_lib1.final_cell_0012	human	human1	acinar	acinar
human1_lib1.final_cell_0013	human	human1	delta	delta
human1_lib1.final_cell_0014	human	human1	delta	delta
human1_lib1.final_cell_0015	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0016	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0017	human	human1	beta	beta
human1_lib1.final_cell_0018	human	human1	acinar	acinar
human1_lib1.final_cell_0019	human	human1	ductal	ductal
human1_lib1.final_cell_0020	human	human1	beta	beta
human1_lib1.final_cell_0021	human	human1	beta	beta
human1_lib1.final_cell_0022	human	human1	alpha	alpha
human1_lib1.final_cell_0023	human	human1	ductal	ductal
human1_lib1.final_cell_0024	human	human1	beta	beta
human1_lib1.final_cell_0025	human	human1	delta	delta
human1_lib1.final_cell_0026	human	human1	alpha	alpha
human1_lib1.final_cell_0027	human	human1	beta	beta
human1_lib1.final_cell_0028	human	human1	acinar	acinar
human1_lib1.final_cell_0029	human	human1	acinar	acinar
human1_lib1.final_cell_0030	human	human1	beta	beta
human1_lib1.final_cell_0031	human	human1	delta	delta
human1_lib1.final_cell_0032	human	human1	delta	delta
human1_lib1.final_cell_0033	human	human1	delta	delta
human1_lib1.final_cell_0034	human	human1	delta	delta
human1_lib1.final_cell_0035	human	human1	beta	beta
human1_lib1.final_cell_0036	human	human1	acinar	acinar
human1_lib1.final_cell_0037	human	human1	beta	beta
human1_lib1.final_cell_0038	human	human1	beta	beta
human1_lib1.final_cell_0039	human	human1	beta	beta
human1_lib1.final_cell_0040	human	human1	delta	delta
human1_lib1.final_cell_0041	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0042	human	human1	beta	beta
human1_lib1.final_cell_0043	human	human1	delta	delta
human1_lib1.final_cell_0044	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0045	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0046	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0047	human	human1	acinar	acinar
human1_lib1.final_cell_0048	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0049	human	human1	delta	delta
human1_lib1.final_cell_0050	human	human1	beta	beta
human1_lib1.final_cell_0051	human	human1	delta	delta
human1_lib1.final_cell_0052	human	human1	beta	beta
human1_lib1.final_cell_0053	human	human1	acinar	acinar
human1_lib1.final_cell_0054	human	human1	beta	beta
human1_lib1.final_cell_0055	human	human1	beta	beta
human1_lib1.final_cell_0056	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0057	human	human1	beta	beta
human1_lib1.final_cell_0058	human	human1	beta	beta
human1_lib1.final_cell_0059	human	human1	beta	beta
human1_lib1.final_cell_0060	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0061	human	human1	ductal	ductal
human1_lib1.final_cell_0062	human	human1	alpha	alpha
human1_lib1.final_cell_0063	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0064	human	human1	ductal	ductal
human1_lib1.final_cell_0065	human	human1	ductal	ductal
human1_lib1.final_cell_0066	human	human1	acinar	acinar
human1_lib1.final_cell_0067	human	human1	alpha	alpha
human1_lib1.final_cell_0068	human	human1	beta	beta
human1_lib1.final_cell_0069	human	human1	delta	delta
human1_lib1.final_cell_0070	human	human1	alpha	alpha
human1_lib1.final_cell_0071	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0072	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0073	human	human1	beta	beta
human1_lib1.final_cell_0074	human	human1	delta	delta
human1_lib1.final_cell_0075	human	human1	beta	beta
human1_lib1.final_cell_0076	human	human1	beta	beta
human1_lib1.final_cell_0077	human	human1	delta	delta
human1_lib1.final_cell_0078	human	human1	beta	beta
human1_lib1.final_cell_0079	human	human1	beta	beta
human1_lib1.final_cell_0080	human	human1	beta	beta
human1_lib1.final_cell_0081	human	human1	beta	beta
human1_lib1.final_cell_0082	human	human1	beta	beta
human1_lib1.final_cell_0083	human	human1	beta	beta
human1_lib1.final_cell_0084	human	human1	acinar	acinar
human1_lib1.final_cell_0085	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0086	human	human1	delta	delta
human1_lib1.final_cell_0087	human	human1	delta	delta
human1_lib1.final_cell_0088	human	human1	beta	beta
human1_lib1.final_cell_0089	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0090	human	human1	beta	beta
human1_lib1.final_cell_0091	human	human1	beta	beta
human1_lib1.final_cell_0092	human	human1	beta	beta
human1_lib1.final_cell_0093	human	human1	beta	beta
human1_lib1.final_cell_0094	human	human1	beta	beta
human1_lib1.final_cell_0095	human	human1	beta	beta
human1_lib1.final_cell_0096	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0097	human	human1	beta	beta
human1_lib1.final_cell_0098	human	human1	delta	delta
human1_lib1.final_cell_0099	human	human1	delta	delta
human1_lib1.final_cell_0100	human	human1	beta	beta
human1_lib1.final_cell_0101	human	human1	delta	delta
human1_lib1.final_cell_0102	human	human1	alpha	alpha
human1_lib1.final_cell_0103	human	human1	alpha	alpha
human1_lib1.final_cell_0104	human	human1	delta	delta
human1_lib1.final_cell_0105	human	human1	beta	beta
human1_lib1.final_cell_0106	human	human1	beta	beta
human1_lib1.final_cell_0107	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0108	human	human1	beta	beta
human1_lib1.final_cell_0109	human	human1	acinar	acinar
human1_lib1.final_cell_0110	human	human1	delta	delta
human1_lib1.final_cell_0111	human	human1	beta	beta
human1_lib1.final_cell_0112	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0113	human	human1	delta	delta
human1_lib1.final_cell_0114	human	human1	beta	beta
human1_lib1.final_cell_0115	human	human1	beta	beta
human1_lib1.final_cell_0116	human	human1	beta	beta
human1_lib1.final_cell_0117	human	human1	delta	delta
human1_lib1.final_cell_0118	human	human1	beta	beta
human1_lib1.final_cell_0119	human	human1	delta	delta
human1_lib1.final_cell_0120	human	human1	beta	beta
human1_lib1.final_cell_0121	human	human1	beta	beta
